index32251723,indexpt,namept,siteno_x,index,site,mulpmad,vlpmad,cvlpmad,sitenoint,siteno_y,sitenostr,indexwS,namewS,siteno,numagesptbs,xbPTbs,numparts4res,VARPTbs,avgVARres,varVARres,varreseff,MER,cver,acvr,cvcvr,ASLD,tsptsld,cvptad,siteag,AQFR_CD,NAT_AQFR_C,Layer,WELL_DEPTH,OTOP_dep,OBTM_dep,TOP,BOT,ALT_VA,DEC_LAT_VA,DEC_LONG_V,Source,geometry,index32251724
29,29,ptad_334554090355302.csv,334554090355302,22,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF334554090355302.csv,26.00104603,222.5323815,0.573727659,334554090355302.csv,3.34554E+14,3.34554E+14,29,well_summ_parts_334554090355302_21451903.csv,3.34554E+14,200,48772.58025,200,1.28087E+15,1029.431443,4673620.818,637.9964311,65.472083,0.385791777,0.33976979,0.012284218,41.49031247,28054959377,733.7989631,USGS_334554090355302,112MRVA,N100MSRVVL,MRVA,90,-9999,-9999,50,90,139,33.764889,-90.597972,MAP 2022,POINT (-90.597972 33.764889),29
30,30,ptad_334554090355303.csv,334554090355303,55,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF334554090355303.csv,229.9739177,42494.01027,0.896365795,334554090355303.csv,3.34554E+14,3.34554E+14,30,well_summ_parts_334554090355303_21451903.csv,3.34554E+14,100,641505.3326,100,7.17963E+15,2154.851697,166360.6881,16.49840032,72.40903501,0.056095518,0.639754829,0.010627951,117.5953383,444889707.6,132.084143,USGS_334554090355303,124SPRT,S100MSEMBM,MCAQ,200,-9999,-9999,170,200,139,33.764889,-90.597972,MAP 2022,POINT (-90.597972 33.764889),30
80,31,ptad_334916091182501.csv,334916091182501,75,C:\github\map_gwage\MERASwd\Scripts\redoPDFs12174pguL\realdiscrep\PDF_334916091182501.csv,726.4066425,235128.7438,0.667533484,334916091182501.csv,3.34916E+14,3.34916E+14,31,well_summ_parts_334916091182501_21451903.csv,3.34916E+14,100,626.0939965,100,1.05015E+11,52.18911666,1356.555703,15.4360982,15.31318106,0.256568508,0.441451419,0.009467419,4.398132369,858374442.5,517.5897772,AR008_334916091182501,110ALVM,N100MSRVVL,MRVA,93.8,75.5,93.4,75.5,93.4,147,33.821111,-91.306944,MAP 2022,POINT (-91.306944 33.821111),80
31,32,ptad_335308090362101.csv,335308090362101,13,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF335308090362101.csv,490.4653278,69376.17551,0.537027921,335308090362101.csv,3.35308E+14,3.35308E+14,32,well_summ_parts_335308090362101_21451903.csv,3.35308E+14,100,205192.6032,100,8.77886E+15,927.5325472,130064.9079,126.6970872,66.57791449,0.169064774,0.449514594,0.004820628,103.4594027,84746088.58,456.6226635,USGS_335308090362101,124SPRT,S100MSEMBM,MCAQ,236,-9999,-9999,206,236,143,33.885556,-90.605833,MAP 2022,POINT (-90.605833 33.885556),31
78,33,ptad_335308090362102.csv,335308090362102,79,C:\github\map_gwage\MERASwd\Scripts\redoPDFs12174pguL\pdfs\PDF_335308090362102.csv,1534.304925,2210178.779,0.968951464,335308090362102.csv,3.35308E+14,3.35308E+14,-9999,-9999,3.35308E+14,200,14159.08357,-9999,5.25269E+14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.468463724,13147125135,1618.660776,USGS_335308090362102,112MRVA,N100MSRVVL,MRVA,100,-9999,-9999,60,100,143,33.885556,-90.605833,MAP 2022,POINT (-90.605833 33.885556),78
32,34,ptad_340740091211501.csv,340740091211501,70,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF340740091211501.csv,665.5995808,154387.9087,0.590328298,340740091211501.csv,3.4074E+14,3.4074E+14,33,well_summ_parts_340740091211501_2165.csv,3.4074E+14,100,2360.910868,100,2.80431E+13,37.91032894,729.1616388,21.4822458,21.96781308,0.210985698,0.259074425,0.007430737,11.74946814,1047665797,2243.021632,AR008_340740091211501,110ALVM,N100MSRVVL,MRVA,135.5,115,135,115,135,178,34.127778,-91.354167,MAP 2022,POINT (-91.354167 34.127778),32
33,35,ptad_340905091495201.csv,340905091495201,69,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF340905091495201.csv,377.8754248,289460.8671,1.423791123,340905091495201.csv,3.40905E+14,3.40905E+14,34,well_summ_parts_340905091495201_2165.csv,3.40905E+14,100,614.1980926,100,71903914798,59.51356407,6655.128025,27.47394281,25.59683247,0.204773743,0.226476104,0.013054079,4.143119412,383556540.8,436.5839891,USGS_340905091495201,110ALVM,N100MSRVVL,MRVA,115,112,115,112,115,193.98,34.151361,-91.832139,MAP 2022,POINT (-91.832139 34.151361),33
34,36,ptad_342207090373201.csv,342207090373201,57,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF342207090373201.csv,27.99669269,477.3868472,0.780420186,342207090373201.csv,3.42207E+14,3.42207E+14,35,well_summ_parts_342207090373201_2165.csv,3.42207E+14,100,340.3268722,100,23089346.55,56.30362554,274.4721566,16.95744325,32.62629599,0.126215419,0.232843556,0.000135207,3.819775987,2384388.977,14.11918337,USGS_342207090373201,112MRVA,N100MSRVVL,MRVA,125,105,125,105,125,170,34.368611,-90.625556,MAP 2022,POINT (-90.625556 34.368611),34
35,39,ptad_343015091325401.csv,343015091325401,43,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF343015091325401.csv,17999.03352,64737671.82,0.447022469,343015091325401.csv,3.43015E+14,3.43015E+14,38,well_summ_parts_343015091325401_2165.csv,3.43015E+14,100,22413.46018,100,1.43989E+12,78.79966386,161.0410089,0.765792113,14.36335834,0.060925549,0.617581541,0.003826106,36.0113806,143433396.2,53.53718727,AR008_343015091325401,124SPRT,S100MSEMBM,MCAQ,677,-9999,-9999,647,677,214,34.503944,-91.547833,MAP 2022,POINT (-91.547833 34.503944),35
36,40,ptad_343430091544701.csv,343430091544701,34,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF343430091544701.csv,25.99902956,74.39202598,0.331746275,343430091544701.csv,3.4343E+14,3.4343E+14,39,well_summ_parts_343430091544701_21451903.csv,3.4343E+14,100,1370.722082,100,1722519933,69.2096902,1665.086817,1.666636886,39.0392587,0.033068838,0.200440839,0.072199518,6.572791618,3351264.47,30.27838583,AR008_343430091544701,110ALVM,N100MSRVVL,MRVA,145.5,125,145,125,145,221,34.575,-91.913056,MAP 2022,POINT (-91.913056 34.575),36
37,41,ptad_343609091474601.csv,343609091474601,10,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF343609091474601.csv,1818.348625,1707025.058,0.718526509,343609091474601.csv,3.43609E+14,3.43609E+14,40,well_summ_parts_343609091474601_21451903.csv,3.43609E+14,100,1236.337883,100,13725427960,151.6433737,11174.06318,81.26645185,47.87138201,0.188312732,0.242756199,0.011934979,9.475308035,94939175.81,94.76015679,AR008_343609091474601,110ALVM,N100MSRVVL,MRVA,151.9,131.4,151.4,131.4,151.4,206,34.6025,-91.796111,MAP 2022,POINT (-91.796111 34.6025),37
38,42,ptad_343826091361302.csv,343826091361302,12,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF343826091361302.csv,411.3496993,310795.4278,1.355270941,343826091361302.csv,3.43826E+14,3.43826E+14,41,well_summ_parts_343826091361302_21451903.csv,3.43826E+14,100,1834.329062,100,39575962526,178.7905182,1031.797196,10.97221485,39.96940661,0.082874219,0.332733049,0.00050874,19.78999211,14649297.27,108.4522324,AR008_343826091361302,110ALVM,N100MSRVVL,MRVA,139.5,119,139,119,139,228,34.640556,-91.603611,MAP 2022,POINT (-91.603611 34.640556),38
39,43,ptad_343841092033701.csv,343841092033701,71,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF343841092033701.csv,56.51879942,7923.606137,1.574956314,343841092033701.csv,3.43841E+14,3.43841E+14,42,well_summ_parts_343841092033701_21451903.csv,3.43841E+14,100,744.0200979,100,8448503867,44.87977704,1310.763607,20.3535017,51.75527382,0.087169581,0.112879692,0.028450226,5.432418813,28204872.93,123.5393285,AR008_343841092033701,110ALVM,N100MSRVVL,MRVA,105.5,85,105,85,105,236,34.644722,-92.060278,MAP 2022,POINT (-92.060278 34.644722),39
40,44,ptad_344543091510601.csv,344543091510601,56,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF344543091510601.csv,729.9147165,458811.3736,0.927993571,344543091510601.csv,3.44543E+14,3.44543E+14,43,well_summ_parts_344543091510601_21451903.csv,3.44543E+14,100,393.7414872,100,4100494341,2029.665086,955446.698,131.8123964,57.14126895,0.200922349,0.798747492,0.062982328,5.199838677,32724448.04,162.6323476,AR008_344543091510601,110ALVM,N100MSRVVL,MRVA,176.6,155.9,174.9,155.9,174.9,230,34.761944,-91.851667,MAP 2022,POINT (-91.851667 34.761944),40
